scenariusz,iteracja,udzial_ciezarowek,tau_osobowki,tau_ciezarowki,liczba_pojazdow_exit,sredni_czas_opoznienia_s,calkowity_czas_symulacji_s
Rondo,275,0.1088,1.6503,3.7503,1540.0,1657.23,8272.0
Rondo,276,0.0066,1.3974,3.4974,1540.0,1116.39,6043.0
Rondo,277,0.0017,2.3677,4.4677,1544.0,1533.42,7469.0
Rondo,278,0.0964,1.9726,4.0726,1540.0,1749.14,8472.0
Rondo,279,0.1204,1.4278,3.5278,1541.0,1644.81,8371.0
Rondo,280,0.1134,1.0446,3.1446,1543.0,1419.88,7463.0
Rondo,281,0.099,1.2075,3.3075,1540.0,1431.81,7470.0
Rondo,282,0.1067,2.0111,4.1111,1539.0,1834.78,8880.0
Rondo,283,0.1386,1.7965,3.8965,1537.0,1928.79,8987.0
Rondo,284,0.1399,2.4616,4.5616,1538.0,2213.58,9893.0
Rondo,285,0.094,2.0091,4.1091,1543.0,1789.06,8773.0
Rondo,286,0.0117,2.2314,4.3314,1540.0,1490.63,7567.0
Rondo,287,0.0119,2.3404,4.4404,1540.0,1503.91,7564.0
Rondo,288,0.0216,1.789,3.889,1542.0,1309.32,6958.0
Rondo,289,0.127,1.5604,3.6604,1538.0,1709.63,8467.0
Rondo,290,0.03,2.3417,4.4417,1538.0,1602.85,7861.0
Rondo,291,0.0999,1.4983,3.5983,1540.0,1576.04,7873.0
Rondo,292,0.0449,1.857,3.957,1540.0,1434.67,7457.0
Rondo,293,0.0529,1.202,3.302,1541.0,1240.02,6763.0
Rondo,294,0.0677,1.0428,3.1428,1538.0,1206.3,6759.0
Rondo,295,0.1069,2.1925,4.2925,1539.0,1918.92,9177.0
Rondo,296,0.041,1.2202,3.3202,1539.0,1152.53,6354.0
Rondo,297,0.1424,1.9492,4.0492,1536.0,2002.73,9389.0
Rondo,298,0.0867,1.3619,3.4619,1539.0,1472.84,7567.0
Rondo,299,0.1212,1.3363,3.4363,1539.0,1606.87,8164.0
Rondo,300,0.1205,1.1707,3.2707,1540.0,1573.35,7968.0
Rondo,301,0.0574,1.9291,4.0291,1540.0,1545.58,7664.0
Rondo,302,0.1281,1.8111,3.9111,1538.0,1863.21,8776.0
Rondo,303,0.0918,1.5467,3.6467,1541.0,1551.33,7960.0
Rondo,304,0.1295,1.6895,3.7895,1540.0,1835.28,8772.0
Rondo,305,0.1172,1.3725,3.4725,1540.0,1599.8,8164.0
Rondo,306,0.1352,1.597,3.697,1546.0,1848.18,8882.0
Rondo,307,0.1339,1.5958,3.6958,1544.0,1796.47,8780.0
Rondo,308,0.0726,1.6768,3.7768,1546.0,1537.73,7768.0
Rondo,309,0.0143,1.9163,4.0163,1537.0,1317.41,7053.0
Rondo,310,0.0743,1.963,4.063,1544.0,1652.73,8266.0
Rondo,311,0.1125,1.8875,3.9875,1538.0,1803.8,8672.0
Rondo,312,0.1146,1.3502,3.4502,1542.0,1581.43,8068.0
Rondo,313,0.109,2.1928,4.2928,1540.0,1946.48,9276.0
Rondo,314,0.0406,1.1576,3.2576,1538.0,1162.32,6354.0
